app_id,name,name_he,segment,developer,category,installs_range,current_version,last_updated,first_scraped,last_scraped
com.ideomobile.hapoalim,Bank Hapoalim,בנק הפועלים,traditional_bank,BankHapoalim,פיננסיים,"+1,000,000",43.9.0,1778001749,2026-05-13 19:49:31,2026-05-13T22:49:31.202152
com.leumi.leumiwallet,Bank Leumi,בנק לאומי,traditional_bank,Bank Leumi Le Israel,פיננסיים,"+1,000,000",151.0.9,1776929430,2026-05-13 19:50:25,2026-05-13T22:50:25.076847
com.ideomobile.discount,Discount Bank,בנק דיסקונט,traditional_bank,Israel Discount Bank ltd.,פיננסיים,"+1,000,000",102.0.0,1777311787,2026-05-13 19:50:54,2026-05-13T22:50:54.607131
com.MizrahiTefahot.nh,Mizrahi-Tefahot,מזרחי טפחות,traditional_bank,בנק מזרחי-טפחות,פיננסיים,"+1,000,000",44.0,1774952375,2026-05-13 19:51:10,2026-05-13T22:51:10.170285
com.fibi.nativeapp,First International Bank,הבינלאומי,traditional_bank,הבנק הבינלאומי,פיננסיים,"+500,000",6.46.9.34,1778437216,2026-05-13 19:51:29,2026-05-13T22:51:29.830060
com.ideomobile.mercantile,Mercantile Discount,מרכנתיל דיסקונט,traditional_bank,Israel Discount Bank ltd.,פיננסיים,"+500,000",102.0.0,1777223249,2026-05-13 19:51:39,2026-05-13T22:51:39.520350
il.co.firstdigitalbank,One Zero,ONE ZERO,digital_bank,ONE ZERO Digital Bank,פיננסיים,"+500,000",3.14.1,1777552242,2026-05-13 19:51:43,2026-05-13T22:51:43.021851
com.pepper.ldb,Pepper,פפר,digital_bank,Bank Leumi Le Israel,פיננסיים,"+1,000,000",11.6.0-202604191506,1776673506,2026-05-13 19:51:49,2026-05-13T22:51:49.050333
com.isracard.hatavot,Isracard,ישראכרט,credit_card,ISRACARD GROUP,פיננסיים,"+1,000,000",9.0.64,1777409401,2026-05-13 19:52:24,2026-05-13T22:52:24.755846
com.onoapps.cal4u,Cal,כאל,credit_card,Cal - Israel Credit Cards Ltd.,פיננסיים,"+1,000,000",6.26.6,1775719227,2026-05-13 19:52:42,2026-05-13T22:52:42.989472
com.ideomobile.leumicard,Max,מקס,credit_card,max finance,פיננסיים,"+1,000,000",20.86.1.12,1777384810,2026-05-13 19:53:03,2026-05-13T22:53:03.159050
